Date,NIFTY_50_Open,NIFTY_50_High,NIFTY_50_Low,NIFTY_50_Close,Auto_Open,Auto_High,Auto_Low,Auto_Close,Bank_Open,Bank_High,Bank_Low,Bank_Close,FMCG_Open,FMCG_High,FMCG_Low,FMCG_Close,IT_Open,IT_High,IT_Low,IT_Close,Next_50_Open,Next_50_High,Next_50_Low,Next_50_Close,Energy_Open,Energy_High,Energy_Low,Energy_Close
8 Aug 2019,10899.2,11058.05,10842.95,11032.45,10899.2,10 Apr 1930,10842.95,11032.45,10899.2,11058.05,10842.95,11032.45,10899.2,11058.05,10842.95,11032.45,10899.2,11058.05,10842.95,11032.45,10899.2,11058.05,10842.95,11032.45,10899.2,11058.05,10842.95,11032.45
9 Aug 2019,11087.9,11181.45,11062.8,11109.65,11087.9,11 Aug 1930,11062.8,11109.65,11087.9,11181.45,11062.8,11109.65,11087.9,11181.45,11062.8,11109.65,11087.9,11181.45,11062.8,11109.65,11087.9,11181.45,11062.8,11109.65,11087.9,11181.45,11062.8,11109.65
13 Aug 2019,11139.4,11145.9,10901.6,10925.85,11139.4,6 Jul 1930,10901.6,10925.85,11139.4,11145.9,10901.6,10925.85,11139.4,11145.9,10901.6,10925.85,11139.4,11145.9,10901.6,10925.85,11139.4,11145.9,10901.6,10925.85,11139.4,11145.9,10901.6,10925.85
14 Aug 2019,11003.25,11078.15,10935.6,11029.4,11003.25,30 Apr 1930,10935.6,11029.4,11003.25,11078.15,10935.6,11029.4,11003.25,11078.15,10935.6,11029.4,11003.25,11078.15,10935.6,11029.4,11003.25,11078.15,10935.6,11029.4,11003.25,11078.15,10935.6,11029.4
16 Aug 2019,11043.65,11068.65,10924.3,11047.8,11043.65,20 Apr 1930,10924.3,11047.8,11043.65,11068.65,10924.3,11047.8,11043.65,11068.65,10924.3,11047.8,11043.65,11068.65,10924.3,11047.8,11043.65,11068.65,10924.3,11047.8,11043.65,11068.65,10924.3,11047.8
19 Aug 2019,11094.8,11146.9,11037.85,11053.9,11094.8,7 Jul 1930,11037.85,11053.9,11094.8,11146.9,11037.85,11053.9,11094.8,11146.9,11037.85,11053.9,11094.8,11146.9,11037.85,11053.9,11094.8,11146.9,11037.85,11053.9,11094.8,11146.9,11037.85,11053.9
20 Aug 2019,11063.9,11076.3,10985.3,11017,11063.9,28 Apr 1930,10985.3,11017,11063.9,11076.3,10985.3,11017,11063.9,11076.3,10985.3,11017,11063.9,11076.3,10985.3,11017,11063.9,11076.3,10985.3,11017,11063.9,11076.3,10985.3,11017
21 Aug 2019,11018.15,11034.2,10906.65,10918.7,11018.15,17 Mar 1930,10906.65,10918.7,11018.15,11034.2,10906.65,10918.7,11018.15,11034.2,10906.65,10918.7,11018.15,11034.2,10906.65,10918.7,11018.15,11034.2,10906.65,10918.7,11018.15,11034.2,10906.65,10918.7
22 Aug 2019,10905.3,10908.25,10718.3,10741.35,10905.3,11 Nov 1929,10718.3,10741.35,10905.3,10908.25,10718.3,10741.35,10905.3,10908.25,10718.3,10741.35,10905.3,10908.25,10718.3,10741.35,10905.3,10908.25,10718.3,10741.35,10905.3,10908.25,10718.3,10741.35
23 Aug 2019,10699.6,10862.55,10637.15,10829.35,10699.6,26 Sep 1929,10637.15,10829.35,10699.6,10862.55,10637.15,10829.35,10699.6,10862.55,10637.15,10829.35,10699.6,10862.55,10637.15,10829.35,10699.6,10862.55,10637.15,10829.35,10699.6,10862.55,10637.15,10829.35
26 Aug 2019,11000.3,11070.3,10756.55,11057.85,11000.3,22 Apr 1930,10756.55,11057.85,11000.3,11070.3,10756.55,11057.85,11000.3,11070.3,10756.55,11057.85,11000.3,11070.3,10756.55,11057.85,11000.3,11070.3,10756.55,11057.85,11000.3,11070.3,10756.55,11057.85
27 Aug 2019,11106.55,11141.75,11049.5,11105.35,11106.55,2 Jul 1930,11049.5,11105.35,11106.55,11141.75,11049.5,11105.35,11106.55,11141.75,11049.5,11105.35,11106.55,11141.75,11049.5,11105.35,11106.55,11141.75,11049.5,11105.35,11106.55,11141.75,11049.5,11105.35
28 Aug 2019,11101.3,11129.65,10987.65,11046.1,11101.3,20 Jun 1930,10987.65,11046.1,11101.3,11129.65,10987.65,11046.1,11101.3,11129.65,10987.65,11046.1,11101.3,11129.65,10987.65,11046.1,11101.3,11129.65,10987.65,11046.1,11101.3,11129.65,10987.65,11046.1
29 Aug 2019,10996.05,11021.1,10922.4,10948.3,10996.05,4 Mar 1930,10922.4,10948.3,10996.05,11021.1,10922.4,10948.3,10996.05,11021.1,10922.4,10948.3,10996.05,11021.1,10922.4,10948.3,10996.05,11021.1,10922.4,10948.3,10996.05,11021.1,10922.4,10948.3
30 Aug 2019,10987.8,11042.6,10874.8,11023.25,10987.8,25 Mar 1930,10874.8,11023.25,10987.8,11042.6,10874.8,11023.25,10987.8,11042.6,10874.8,11023.25,10987.8,11042.6,10874.8,11023.25,10987.8,11042.6,10874.8,11023.25,10987.8,11042.6,10874.8,11023.25
3 Sep 2019,10960.95,10967.5,10772.7,10797.9,10960.95,9 Jan 1930,10772.7,10797.9,10960.95,10967.5,10772.7,10797.9,10960.95,10967.5,10772.7,10797.9,10960.95,10967.5,10772.7,10797.9,10960.95,10967.5,10772.7,10797.9,10960.95,10967.5,10772.7,10797.9
4 Sep 2019,10790.4,10858.75,10746.35,10844.65,10790.4,22 Sep 1929,10746.35,10844.65,10790.4,10858.75,10746.35,10844.65,10790.4,10858.75,10746.35,10844.65,10790.4,10858.75,10746.35,10844.65,10790.4,10858.75,10746.35,10844.65,10790.4,10858.75,10746.35,10844.65
5 Sep 2019,10860.95,10920.1,10816,10847.9,10860.95,23 Nov 1929,10816,10847.9,10860.95,10920.1,10816,10847.9,10860.95,10920.1,10816,10847.9,10860.95,10920.1,10816,10847.9,10860.95,10920.1,10816,10847.9,10860.95,10920.1,10816,10847.9
6 Sep 2019,10883.8,10957.05,10867.45,10946.2,10883.8,30 Dec 1929,10867.45,10946.2,10883.8,10957.05,10867.45,10946.2,10883.8,10957.05,10867.45,10946.2,10883.8,10957.05,10867.45,10946.2,10883.8,10957.05,10867.45,10946.2,10883.8,10957.05,10867.45,10946.2
9 Sep 2019,10936.7,11028.85,10889.8,11003.05,10936.7,11 Mar 1930,10889.8,11003.05,10936.7,11028.85,10889.8,11003.05,10936.7,11028.85,10889.8,11003.05,10936.7,11028.85,10889.8,11003.05,10936.7,11028.85,10889.8,11003.05,10936.7,11028.85,10889.8,11003.05
11 Sep 2019,11028.5,11054.8,11011.65,11035.7,11028.5,6 Apr 1930,11011.65,11035.7,11028.5,11054.8,11011.65,11035.7,11028.5,11054.8,11011.65,11035.7,11028.5,11054.8,11011.65,11035.7,11028.5,11054.8,11011.65,11035.7,11028.5,11054.8,11011.65,11035.7
12 Sep 2019,11058.3,11081.75,10964.95,10982.8,11058.3,3 May 1930,10964.95,10982.8,11058.3,11081.75,10964.95,10982.8,11058.3,11081.75,10964.95,10982.8,11058.3,11081.75,10964.95,10982.8,11058.3,11081.75,10964.95,10982.8,11058.3,11081.75,10964.95,10982.8
13 Sep 2019,10986.8,11084.45,10945.75,11075.9,10986.8,6 May 1930,10945.75,11075.9,10986.8,11084.45,10945.75,11075.9,10986.8,11084.45,10945.75,11075.9,10986.8,11084.45,10945.75,11075.9,10986.8,11084.45,10945.75,11075.9,10986.8,11084.45,10945.75,11075.9
